Calories,Proteins,Fat,Carbohydrate,Name
386.0,3.0,10.0,76.0,Gula Kelapa
52.0,10.0,0.5,1.8,Gulai asam keueung masakan
106.0,16.5,3.3,2.5,Gulai ikan masakan
148.0,10.0,9.8,5.0,Gulai ikan paya masakan
126.0,4.2,9.4,6.2,Gulai kambing
110.0,5.9,8.2,3.2,Gulai keumamah masakan
143.0,4.0,11.4,6.0,Gulai pakis
176.0,7.3,14.9,3.2,Gulai pliek
132.0,9.0,7.2,7.8,Gulai tiram masakan
192.0,12.7,10.1,12.7,Gurame asem manis masakan
218.0,0.5,2.5,48.5,Gurandil
65.0,10.0,1.0,3.5,Hangop
134.0,19.7,4.8,1.7,Hati Babi
136.0,19.7,3.2,6.0,Hati Sapi
390.0,14.2,7.4,68.2,Havermout
127.0,1.2,0.5,29.5,Hofa/Ubi hutan segar
146.0,17.7,5.9,5.6,Ikan asar merah masakan
198.0,19.0,13.0,0.0,Ikan Bader (Tawes)
107.0,16.5,3.9,1.5,Ikan balong segar
112.0,20.0,1.3,3.7,Ikan bambangan segar
129.0,20.0,4.8,0.0,Ikan Bandeng
111.0,19.4,0.9,4.8,Ikan banjar segar
78.0,14.5,0.6,3.7,Ikan baronang segar
144.0,17.8,5.8,5.2,Ikan baung bakar
123.0,15.1,5.5,3.3,Ikan baung segar
96.0,19.0,1.7,0.0,Ikan Bawal
138.0,14.0,0.7,7.4,Ikan Bekasang
128.0,18.0,3.0,7.2,Ikan Belida bakar
80.0,14.7,1.4,2.2,Ikan Belida segar
82.0,6.7,1.0,10.9,Ikan Belut Segar mentah
66.0,14.0,0.0,0.0,Ikan Beunteur
90.0,14.9,2.5,2.1,Ikan biawan segar
88.0,14.2,0.7,6.2,Ikan bili segar
100.0,14.7,2.4,4.9,Ikan bubara segar
134.0,25.5,1.3,5.0,Ikan bulan-bulan segar
204.0,34.2,5.6,1.9,Ikan cakalang asap mentah
120.0,11.3,3.9,10.0,Ikan cakalang hati segar
116.0,11.2,1.2,10.2,Ikan cakalang jantung segar
86.0,10.2,1.1,8.7,Ikan cakalang perut segar
107.0,19.6,0.7,5.5,Ikan cakalang segar
81.0,11.4,1.9,3.8,Ikan calo/ peda mentah
101.0,11.5,4.1,4.6,Ikan daun segar
109.0,17.0,4.0,0.0,Ikan Ekor Kuning
74.0,25.2,1.7,0.0,Ikan Gabus segar
101.0,10.3,3.7,6.7,Ikan hitam segar
57.0,10.7,0.3,2.2,Ikan hiu segar
77.0,15.6,0.9,1.6,Ikan kacangan segar
92.0,20.0,0.7,0.0,Ikan kakap segar
82.0,11.4,1.2,6.4,Ikan kakatua segar
132.0,17.0,6.7,0.8,Ikan kapar segar
162.0,31.7,2.8,0.3,Ikan katombo asin
110.0,12.6,4.2,5.4,Ikan kawalinya segar
103.0,22.0,1.0,0.0,Ikan Kembung
70.0,10.8,0.7,5.2,Ikan kima segar
147.0,17.5,6.5,5.4,Ikan Lais bakar
109.0,22.0,1.7,0.0,Ikan Layang
82.0,18.0,1.0,0.4,Ikan layur segar
90.0,20.4,0.9,0.0,Ikan lehoma segar
112.0,20.0,3.0,0.0,Ikan Lemuru
104.0,15.6,3.2,2.0,Ikan lidah segar
99.0,20.6,1.4,0.9,Ikan malalugis segar
86.0,16.0,2.0,0.0,Ikan Mas
188.0,19.3,12.2,0.0,Ikan Mas goreng
209.0,15.2,11.3,11.8,Ikan Mas pepes
97.0,17.9,2.0,0.4,Ikan mayong segar
121.0,21.7,2.8,0.8,Ikan Mujair pepes
89.0,18.7,1.0,0.0,Ikan Mujair segar
154.0,16.8,5.0,10.5,Ikan nasu metti segar
125.0,21.3,3.4,2.2,Ikan oci kembung segar
152.0,17.6,6.1,6.7,Ikan Papuyu bakar
120.0,14.3,4.9,4.6,Ikan papuyu/ betok segar
144.0,17.5,6.3,4.3,Ikan Patin bakar
132.0,17.0,6.6,1.1,Ikan Patin segar
156.0,28.0,4.0,2.0,Ikan peda banjar mentah
176.0,32.0,4.4,0.0,Ikan Pepetek
157.0,28.0,4.2,1.8,Ikan Pindang banjar mentah
170.0,31.0,4.2,0.0,Ikan Pindang benggol mentah
153.0,30.0,2.8,0.0,Ikan Pindang layang mentah
142.0,27.0,3.0,0.0,Ikan Pindang selar mentah
284.0,34.1,9.9,14.6,Ikan saluang kering mentah
113.0,13.9,4.9,3.4,Ikan saluang segar
240.0,21.7,7.7,20.7,Ikan sanggang masakan
109.0,19.9,1.8,3.4,Ikan sarden segar
113.0,17.0,4.5,0.0,Ikan Segar
138.0,27.0,3.3,0.0,Ikan selar kuning cue mentah
100.0,18.8,2.2,0.0,Ikan selar segar
84.0,15.2,0.6,4.7,Ikan sepat segar
81.0,11.4,1.9,3.8,Ikan sidat segar
199.0,34.1,3.8,7.1,Ikan sunu asin mentah
111.0,13.3,3.4,6.7,Ikan sunu segar
88.0,15.9,0.9,4.1,Ikan tahuman segar
96.0,19.5,1.1,2.0,Ikan tarmon segar
95.0,15.8,0.7,6.5,Ikan telan segar
204.0,16.0,15.0,0.0,Ikan Tembang
101.0,15.1,4.1,1.0,Ikan tempahas segar
98.0,19.6,1.7,1.0,Ikan terbang segar
170.0,33.4,3.0,0.0,Ikan Teri kering
144.0,32.5,0.6,0.0,Ikan Teri Nasi kering
74.0,10.3,1.4,4.1,Ikan teri segar
82.0,17.4,0.4,2.3,Ikan titang segar
100.0,13.7,1.5,8.0,Ikan tongkol segar
96.0,19.2,2.0,0.2,Ikan turi segar
156.0,2.7,1.3,33.3,Jagung grontol
361.0,8.7,4.5,72.4,Jagung Kuning giling
129.0,4.1,1.3,30.3,Jagung Kuning muda
307.0,7.9,3.4,63.6,Jagung Kuning pipil baru
366.0,9.8,7.3,69.1,Jagung kuning pipil kering mentah
355.0,9.2,3.9,73.7,Jagung Kuning pipil lama
154.0,3.8,3.5,28.4,Jagung kuning pipil rebus
140.0,4.7,1.3,33.1,Jagung Kuning segar
355.0,9.2,3.9,73.7,Jagung kuning tepung
35.0,2.2,0.1,7.4,Jagung muda
147.0,5.1,0.7,31.5,Jagung muda kuning mentah
142.0,5.0,0.7,30.3,Jagung muda rebus
367.0,6.2,5.1,76.2,Jagung pipil var. harapan kering
368.0,5.5,4.6,78.0,Jagung pipil var. metro kering
361.0,8.7,4.5,72.4,Jagung Putih giling
129.0,4.1,1.3,30.3,Jagung Putih muda
307.0,7.9,3.4,63.6,Jagung Putih pipil baru
355.0,9.2,3.9,73.7,Jagung Putih pipil lama
140.0,4.7,1.3,33.1,Jagung Putih segar
175.0,1.8,1.8,35.0,Jagung Rebus 
148.9,10.4,10.4,20.1,Jagung Sayur (tumis) 
374.0,9.4,2.2,79.1,Jagung titi
51.0,1.5,1.0,10.1,Jahe
289.0,11.0,4.0,61.0,Jali
239.0,0.5,0.6,64.5,Jam selai
46.0,0.6,0.0,11.8,Jambu Air
49.0,0.9,0.3,12.2,Jambu Biji
61.0,0.9,0.3,15.4,Jambu biji putih tidak berbiji
56.0,0.6,0.3,14.2,Jambu Bol
64.0,0.7,0.6,15.8,Jambu Monyet buah
350.0,6.2,1.4,78.2,Jampang huma mentah
45.0,2.5,3.9,0.0,Jamur Coklat (kulat siau)
296.0,9.4,1.1,62.0,Jamur encik
294.0,16.0,0.9,64.6,Jamur kuping kering
21.0,3.8,0.6,0.9,Jamur kuping segar
30.0,3.5,0.2,4.0,Jamur merang segar
48.0,2.8,4.1,2.9,Jamur Putih (kulat putih)
48.0,1.9,3.2,2.8,Jamur sagu
30.0,1.9,0.1,5.5,Jamur tiram segar
107.0,5.3,2.2,16.5,Jangang bintatoeng masakan
31.0,1.2,0.3,7.1,Jantung Pisang segar
48.0,2.5,4.2,0.0,Jaruk Tigarun
334.0,9.7,3.5,73.4,Jawawut
381.7,9.5,9.5,65.8,Jenang 
192.0,5.4,0.3,40.7,Jengkol segar
48.0,0.6,0.2,12.4,Jeruk Bali
61.0,0.8,0.2,14.1,Jeruk banjar segar
44.0,0.8,0.3,10.9,Jeruk Garut
39.0,0.3,0.3,8.9,Jeruk Kalamansi segar
45.0,0.9,0.2,11.2,Jeruk Manis
37.0,0.8,0.1,12.3,Jeruk Nipis
49.0,0.7,0.2,11.1,Jeruk ragi segar
32.0,1.9,0.3,7.1,Jotang
15.0,15.2,4.3,8.8,Jukku pallu kaloa masakan
130.0,6.7,0.3,25.2,Kabau segar
133.0,1.0,0.2,32.2,Kaburan ubi segar
250.0,2.6,2.5,35.4,Kabuto
